CHR_ID,ELEVATION,READ_DATE,DATUM_ADJ
31045400,1376.14,2001-08-22,NGVD 29
31045400,1376.13,2001-08-23,NGVD 29
31045400,1376.08,2001-08-30,NGVD 29
31045400,1376.03,2001-09-06,NGVD 29
31045400,1376.06,2001-09-13,NGVD 29
31045400,1376.06,2001-09-19,NGVD 29
31045400,1376.08,2001-09-26,NGVD 29
31045400,1376.04,2001-10-03,NGVD 29
31045400,1376.24,2001-10-11,NGVD 29
31045400,1376.32,2001-10-17,NGVD 29
31045400,1376.34,2001-10-24,NGVD 29
31045400,1376.48,2001-10-31,NGVD 29
31045400,1376.55,2002-05-15,NGVD 29
31045400,1376.53,2002-05-22,NGVD 29
31045400,1376.55,2002-05-29,NGVD 29
31045400,1376.55,2002-06-05,NGVD 29
31045400,1376.61,2002-06-12,NGVD 29
31045400,1376.63,2002-06-19,NGVD 29
31045400,1377.15,2002-06-26,NGVD 29
31045400,1376.89,2002-07-03,NGVD 29
31045400,1377.09,2002-07-10,NGVD 29
31045400,1376.94,2002-07-17,NGVD 29
31045400,1376.88,2002-07-24,NGVD 29
31045400,1377.08,2002-07-31,NGVD 29
31045400,1376.98,2002-08-07,NGVD 29
31045400,1376.99,2002-08-13,NGVD 29
31045400,1377.04,2002-08-21,NGVD 29
31045400,1377.00,2002-08-28,NGVD 29
31045400,1377.03,2002-09-04,NGVD 29
31045400,1376.97,2002-09-12,NGVD 29
31045400,1376.91,2002-09-18,NGVD 29
31045400,1376.85,2002-09-25,NGVD 29
31045400,1376.81,2002-10-02,NGVD 29
31045400,1376.89,2002-10-09,NGVD 29
31045400,1377.01,2002-10-16,NGVD 29
31045400,1377.02,2002-10-23,NGVD 29
31045400,1376.55,2003-05-08,NGVD 29
31045400,1376.61,2003-05-09,NGVD 29
31045400,1376.57,2003-05-16,NGVD 29
31045400,1376.73,2003-05-23,NGVD 29
31045400,1376.81,2003-05-30,NGVD 29
31045400,1376.75,2003-06-06,NGVD 29
31045400,1376.83,2003-06-13,NGVD 29
31045400,1376.79,2003-06-20,NGVD 29
31045400,1376.91,2003-06-27,NGVD 29
31045400,1376.83,2003-07-04,NGVD 29
31045400,1376.65,2003-07-11,NGVD 29
31045400,1376.53,2003-07-18,NGVD 29
31045400,1376.41,2003-07-25,NGVD 29
31045400,1376.41,2003-08-01,NGVD 29
31045400,1376.39,2003-08-08,NGVD 29
31045400,1376.37,2003-08-15,NGVD 29
31045400,1376.39,2003-08-22,NGVD 29
31045400,1376.35,2003-08-29,NGVD 29
31045400,1376.31,2003-09-05,NGVD 29
31045400,1376.35,2003-09-12,NGVD 29
31045400,1376.33,2003-09-19,NGVD 29
31045400,1376.31,2003-09-26,NGVD 29
31045400,1376.27,2003-10-04,NGVD 29
31045400,1376.53,2004-05-05,NGVD 29
31045400,1376.56,2004-05-17,NGVD 29
